#timebase=40000000(ps)
,#voltbase=5000(mv/100)
#size=4064
2.45E-04,0.007
2.45E-04,0.007
2.45E-04,0.006
2.45E-04,0.006
2.45E-04,0.005
2.46E-04,0.005
2.46E-04,0.006
2.46E-04,0.006
2.46E-04,0.006
2.46E-04,0.006
2.47E-04,0.007
2.47E-04,0.006
2.47E-04,0.006
2.47E-04,0.006
2.47E-04,0.006
2.48E-04,0.007
2.48E-04,0.006
2.48E-04,0.006
2.48E-04,0.005
2.48E-04,0.005
2.49E-04,0.005
2.49E-04,0.005
2.49E-04,0.005
2.49E-04,0.005
2.49E-04,0.005
2.50E-04,0.004
2.50E-04,0.005
2.50E-04,0.005
2.50E-04,0.005
